monthly_income,income_per_capita,family_size,num_dependents,age,employment_years,months_employed_last_2yrs,total_assets,total_liabilities,net_worth,credit_score,employment_status,housing_status,education_level,marital_status,nationality_group,has_disability,need_score,eligible,support_amount
860.0,215.0,4,0,62,1.9,7,103200.0,65900.0,37300.0,529,unemployed,rented,bachelor,married,citizen,no,0.7319003571428572,1,8670.0
17770.0,3554.0,5,0,44,20.5,18,388400.0,66400.0,322000.0,670,employed,owned,diploma,widowed,citizen,no,-0.02502499999999999,0,0.0
5720.0,1430.0,4,1,48,18.4,14,244200.0,32500.0,211700.0,730,retired,government_housing,diploma,married,resident,no,0.38586333333333334,0,0.0
1610.0,805.0,2,0,36,1.2,5,133900.0,16800.0,117100.0,567,unemployed,owned,diploma,married,resident,no,0.6158810714285714,1,4120.0
3740.0,467.5,8,0,61,16.1,9,164300.0,24500.0,139800.0,707,employed,family,high_school,single,citizen,no,0.38597625,0,0.0
2560.0,426.67,6,2,24,0.8,10,177000.0,16300.0,160700.0,640,student,government_housing,high_school,single,citizen,no,0.5681355773809523,1,11570.0
340.0,85.0,4,1,33,1.1,3,182300.0,30500.0,151800.0,489,unemployed,government_housing,postgraduate,married,citizen,no,0.7626408333333333,1,8970.0
2160.0,720.0,3,1,65,1.9,1,263600.0,136700.0,126900.0,850,unemployed,owned,high_school,married,resident,no,0.6079183333333333,1,5830.0
3670.0,734.0,5,3,42,8.6,21,148100.0,28700.0,119400.0,722,employed,family,diploma,married,citizen,no,0.46313499999999996,1,8860.0
8380.0,1676.0,5,0,28,20.9,17,81100.0,16400.0,64700.0,682,employed,rented,high_school,single,resident,no,0.276305,0,0.0
11670.0,3890.0,3,0,39,28.0,18,224800.0,56500.0,168300.0,631,employed,government_housing,bachelor,single,resident,no,0.0018271428571428605,0,0.0
3170.0,634.0,5,0,32,0.3,14,161600.0,75300.0,86300.0,659,student,owned,none,married,citizen,no,0.49847,1,9160.0
780.0,390.0,2,0,44,1.7,4,43100.0,18900.0,24200.0,577,unemployed,government_housing,postgraduate,single,citizen,no,0.6893692857142858,1,4640.0
1970.0,985.0,2,1,31,1.9,2,203200.0,152800.0,50400.0,598,unemployed,owned,diploma,married,citizen,yes,0.9345951190476192,1,4420.0
8210.0,2052.5,4,2,38,29.2,20,233100.0,115800.0,117300.0,632,employed,family,bachelor,single,resident,no,0.29249113095238094,0,0.0
6350.0,1270.0,5,0,61,26.7,18,268600.0,56000.0,212600.0,596,employed,owned,high_school,married,resident,no,0.3010721428571428,1,7280.0
5460.0,910.0,6,1,24,25.8,10,262800.0,44100.0,218700.0,647,self_employed,family,diploma,single,citizen,no,0.38112761904761905,0,0.0
27110.0,5422.0,5,0,55,24.0,20,661200.0,187200.0,474000.0,523,employed,family,high_school,single,resident,no,-0.05582857142857142,0,0.0
2050.0,256.25,8,6,24,0.3,4,199300.0,156400.0,42900.0,612,unemployed,owned,bachelor,divorced,resident,no,0.8778711607142856,1,15000.0
600.0,150.0,4,0,41,0.2,3,161000.0,81500.0,79500.0,602,unemployed,rented,high_school,single,citizen,no,0.6827285714285715,1,8720.0
1050.0,210.0,5,0,51,1.4,3,69200.0,14200.0,55000.0,610,unemployed,family,bachelor,married,resident,no,0.6799821428571429,1,10490.0
8890.0,4445.0,2,1,63,18.6,20,229000.0,23700.0,205300.0,655,employed,government_housing,bachelor,married,citizen,no,-0.0010216666666666707,0,0.0
50.0,8.33,6,2,32,1.9,13,80900.0,9600.0,71300.0,709,student,owned,bachelor,married,resident,no,0.6407745416666668,1,12940.0
2500.0,625.0,4,0,23,11.1,18,93500.0,67500.0,26000.0,702,retired,rented,high_school,married,resident,no,0.5080875,1,7510.0
790.0,112.86,7,3,54,0.1,5,132100.0,55200.0,76900.0,461,unemployed,family,bachelor,married,citizen,no,0.86838825,1,14910.0
4120.0,2060.0,2,0,61,17.3,22,135200.0,43500.0,91700.0,674,employed,government_housing,bachelor,divorced,resident,no,0.223655,0,0.0
6230.0,3115.0,2,0,46,2.6,15,226400.0,158300.0,68100.0,758,employed,owned,postgraduate,single,resident,no,0.11322750000000001,0,0.0
14820.0,2964.0,5,2,23,25.1,12,536100.0,320200.0,215900.0,770,employed,rented,high_school,divorced,citizen,no,0.14515166666666668,0,0.0
11650.0,2912.5,4,3,43,17.9,8,158800.0,112400.0,46400.0,652,employed,owned,high_school,married,citizen,no,0.24360374999999998,0,0.0
950.0,190.0,5,4,38,1.8,1,36500.0,5200.0,31300.0,620,unemployed,owned,bachelor,married,resident,no,0.8181461904761904,1,10750.0
710.0,177.5,4,2,41,1.2,6,97600.0,39200.0,58400.0,707,unemployed,family,high_school,divorced,resident,no,0.7262579166666666,1,8730.0
3100.0,620.0,5,0,23,1.1,12,252200.0,59900.0,192300.0,491,student,family,high_school,married,resident,no,0.5538021428571429,1,9280.0
13250.0,4416.67,3,2,35,2.4,18,403900.0,200200.0,203700.0,568,employed,family,bachelor,single,citizen,no,0.07972880952380951,0,0.0
15230.0,1903.75,8,2,65,27.3,19,388200.0,210600.0,177600.0,689,employed,rented,diploma,single,resident,no,0.27783479166666664,0,0.0
6040.0,3020.0,2,0,23,18.9,12,174500.0,84600.0,89900.0,598,employed,owned,bachelor,married,resident,no,0.14599928571428572,0,0.0
7680.0,1280.0,6,4,62,18.7,18,141700.0,68500.0,73200.0,698,employed,rented,bachelor,widowed,citizen,no,0.45121333333333336,1,8840.0
28790.0,4798.33,6,1,44,12.9,22,1180400.0,208600.0,971800.0,616,employed,family,high_school,single,citizen,no,-0.24986809523809522,0,0.0
8970.0,897.0,10,5,47,21.2,12,503300.0,184000.0,319300.0,589,employed,family,bachelor,married,resident,no,0.47635630952380953,1,15000.0
8690.0,8690.0,1,0,63,4.3,19,344800.0,140900.0,203900.0,756,employed,rented,diploma,married,citizen,no,-0.033865,0,0.0
1570.0,314.0,5,2,30,0.3,4,52000.0,37300.0,14700.0,598,unemployed,rented,diploma,married,citizen,no,0.7559109523809524,1,10350.0
12210.0,3052.5,4,2,65,22.2,14,265800.0,20600.0,245200.0,646,employed,owned,postgraduate,single,resident,no,0.12722613095238094,0,0.0
1480.0,246.67,6,2,33,0.2,3,158500.0,41100.0,117400.0,599,unemployed,rented,none,widowed,resident,yes,1.0269691488095238,1,12800.0
2490.0,830.0,3,1,36,0.3,6,169500.0,129700.0,39800.0,747,unemployed,rented,diploma,single,resident,no,0.6260283333333334,1,5690.0
9310.0,4655.0,2,0,41,23.2,24,362200.0,17900.0,344300.0,589,employed,government_housing,bachelor,married,citizen,no,-0.04814785714285713,0,0.0
2070.0,690.0,3,2,48,0.5,1,152500.0,109300.0,43200.0,555,unemployed,rented,bachelor,single,resident,no,0.7282073809523809,1,6060.0
1750.0,437.5,4,2,35,1.2,6,98200.0,1900.0,96300.0,644,unemployed,owned,high_school,married,citizen,no,0.6871714880952382,1,8160.0
12500.0,12500.0,1,0,56,13.1,23,507400.0,5900.0,501500.0,510,employed,family,high_school,divorced,resident,no,-0.05802499999999994,0,0.0
12940.0,3235.0,4,0,21,8.6,21,345500.0,217300.0,128200.0,621,employed,government_housing,high_school,married,resident,no,0.09526392857142857,0,0.0
2260.0,2260.0,1,0,50,0.6,5,221800.0,130200.0,91600.0,635,unemployed,owned,high_school,married,resident,no,0.42226142857142857,1,1500.0
6320.0,2106.67,3,2,50,27.7,8,329700.0,161300.0,168400.0,656,employed,rented,diploma,single,citizen,no,0.25822629166666666,0,0.0
13140.0,2628.0,5,4,45,16.5,24,431400.0,249000.0,182400.0,521,employed,government_housing,none,divorced,resident,no,0.33505761904761905,1,3930.0
14410.0,2882.0,5,3,48,19.0,12,338900.0,7800.0,331100.0,614,employed,rented,diploma,widowed,citizen,no,0.16796142857142862,0,0.0
840.0,210.0,4,0,54,1.1,1,75400.0,7900.0,67500.0,551,unemployed,family,diploma,married,resident,no,0.7093214285714285,1,8640.0
1130.0,565.0,2,1,61,1.1,5,145500.0,61400.0,84100.0,554,unemployed,family,high_school,single,resident,no,0.6951929761904762,1,4480.0
970.0,323.33,3,0,30,0.4,2,89300.0,40200.0,49100.0,587,unemployed,family,bachelor,married,citizen,no,0.6824403750000001,1,6540.0
2260.0,322.86,7,5,42,0.4,6,227800.0,156900.0,70900.0,513,unemployed,owned,high_school,single,resident,no,0.883815630952381,1,14200.0
8730.0,8730.0,1,0,46,11.1,18,317200.0,37300.0,279900.0,617,employed,government_housing,high_school,married,citizen,no,-0.04160785714285713,0,0.0
15090.0,7545.0,2,0,36,22.9,19,246100.0,166400.0,79700.0,468,self_employed,government_housing,bachelor,widowed,resident,no,0.151105,0,0.0
5800.0,1933.33,3,2,64,23.4,19,291900.0,202500.0,89400.0,561,employed,family,high_school,married,resident,yes,0.6562341845238094,1,4080.0
23450.0,3908.33,6,4,44,24.2,13,637000.0,168700.0,468300.0,711,employed,rented,high_school,single,citizen,yes,0.31724120833333336,1,1000.0
2280.0,760.0,3,2,47,1.2,3,130900.0,40000.0,90900.0,659,unemployed,owned,bachelor,married,resident,no,0.6493516666666667,1,5830.0
9250.0,1850.0,5,2,29,12.4,19,187000.0,135000.0,52000.0,712,employed,family,diploma,divorced,resident,no,0.32784166666666664,1,5870.0
8640.0,1234.29,7,0,39,20.5,22,229200.0,112400.0,116800.0,556,self_employed,rented,high_school,widowed,resident,no,0.3989766607142857,0,0.0
1930.0,643.33,3,0,49,1.0,7,171300.0,38800.0,132500.0,672,unemployed,rented,diploma,married,citizen,no,0.581250375,1,5910.0
1470.0,367.5,4,3,40,0.2,2,174400.0,103100.0,71300.0,762,unemployed,rented,none,married,resident,yes,1.03370125,1,8820.0
9000.0,3000.0,3,2,55,23.6,20,387900.0,285600.0,102300.0,721,self_employed,owned,bachelor,married,citizen,no,0.21836166666666665,0,0.0
12610.0,3152.5,4,1,27,8.0,11,476600.0,164700.0,311900.0,563,self_employed,rented,postgraduate,single,resident,no,0.14422636904761904,0,0.0
17180.0,8590.0,2,1,27,27.8,23,456700.0,101300.0,355400.0,633,employed,owned,bachelor,single,resident,no,-0.04384238095238094,0,0.0
10880.0,1554.29,7,2,36,1.9,21,130500.0,44000.0,86500.0,671,employed,family,bachelor,married,resident,no,0.34903404166666663,1,9080.0
9690.0,1211.25,8,3,35,12.7,15,367200.0,244000.0,123200.0,663,employed,government_housing,none,divorced,resident,no,0.408114375,1,11770.0
4990.0,1247.5,4,1,57,5.6,23,259800.0,144900.0,114900.0,804,employed,owned,high_school,married,resident,no,0.3402745833333333,0,0.0
9980.0,4990.0,2,0,60,10.6,21,481900.0,382100.0,99800.0,688,employed,rented,bachelor,widowed,resident,no,0.002570000000000003,0,0.0
8910.0,1485.0,6,1,42,21.1,10,161800.0,10200.0,151600.0,521,retired,owned,diploma,married,resident,yes,0.774425119047619,1,8710.0
11150.0,3716.67,3,1,43,6.7,23,391000.0,249400.0,141600.0,670,employed,family,high_school,single,citizen,no,0.05314795833333332,0,0.0
9130.0,3043.33,3,0,34,26.3,19,289100.0,229500.0,59600.0,703,employed,rented,high_school,married,resident,no,0.124265375,0,0.0
